Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
What is your age?,What are your pronouns? - Selected Choice,What is your race or ethnicity?(Check all that apply) - Selected Choice,Do you identify as having chronic illness(es)?,Do you consider your chronic illness(es) to be invisible?,Do you identify as having one or more disability?,Do you consider your disabilit(ies) to be invisible?,How long have you been working as an LIS professional?,How long have you been in your current position?,Who have you disclosed your illness and/or disability to at work?(Check all that apply) - Selected Choice,When did you choose to disclose to colleagues you consider close friends? - Selected Choice,When did you choose to disclose to colleagues I work with regularly? - Selected Choice,When did you choose to disclose to your direct supervisor (if not the library director)? - Selected Choice,When did you choose to disclose to other library administrator/manager that you do not report to directly? - Selected Choice,When did you choose to disclose to the library director? - Selected Choice,When did you choose to disclose to the Human Resources/disability office? - Selected Choice,"If you are open about your illness and/or disability with everyone, when did you disclose? - Selected Choice",Have you requested accommodations for your illness and/or disability at your current institution?,Were your accommodations granted?,What type of accommodation did you receive? Please check all that apply. - Selected Choice,"Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree.

 

Hiring Process - I have felt reluctant to apply for jobs that have requirements that might be difficult with my illness and/or disability (like lifting a certain weight).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree.

 

Hiring Process - I have decided not to apply for jobs because the requirements include things that would be difficult with my illness and/or disability (like lifting a certain weight).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree.

 

Hiring Process - My illness and/or disability required extra planning or accommodations for me to travel for in-person interviews.","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree.

 

Hiring Process - The length of an in-person interview (roughly one business day) was difficult to manage because of my illness and/or disability.","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree.

 

Hiring Process - I had to disclose my illness and/or disability during the interview process in order to make the interview accessible to me (requesting breaks during an in-person interview, etc.).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree.

 

Hiring Process - In order to prevent disclosure of my illness and/or disability, I hid my symptoms (pain, fatigue, etc) during the interview process.","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree.

 

Hiring Process - I have decided not to accept an in-person interview because of my illness and/or disability.",Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - I have decided not to disclose my illness and/or disability out of fear of not being believed.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - I have decided not to disclose my illness and/or disability because it would be complicated and energy-consuming to explain.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - I have disclosed my illness and/or disability to colleagues but have not been believed or have had my illness and/or disability minimized because of its invisible nature.,"Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - I have disclosed my illness and/or disability and faced professional repercussions from my colleagues and/or supervisor (being left out of projects, duties removed, etc).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - I have disclosed my illness and/or disability and faced social repercussions from my colleagues and/or supervisor (passive aggressive responses, confrontational behavior, etc).",Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - I have disclosed my illness and/or disability to my supervisor and received verbal support.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - I have disclosed my illness and/or disability to my supervisor and received actionable support.,"Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - My illness and/or disability impacts my ability to complete regular work activities (reference desk shifts, sitting for long periods of time, providing instruction, attending events across campus, etc.).",Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Daily Work Experience - My illness and/or disability impacts my decision to take on new projects or responsibilities in my current position.,"Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - My illness and/or disability impacts my ability to be active in the professional community (volunteering for committees, taking on leadership roles, etc).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - My illness and/or disability impacts my ability to be active in professional discourse (conducting research, publishing, presenting at conferences, etc).",Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - My illness and/or disability prevents me from travelling for professional events.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - My illness and/or disability requires extra planning or accommodations to attend professional events.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - My illness and/or disability has caused me to miss professional events such as conference sessions.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - Virtual professional development opportunities are easier for me because of my illness and/or disability.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - There is an understanding of invisible illness and/or disability within LIS professions.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - There are active attempts to include individuals with invisible illness and/or disability within LIS professions.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - LIS professional organizations provide adequate resources on inclusion of and support for individuals with invisible illness and/or disability.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - LIS professional organizations are appropriate sources to provide support for LIS workers with invisible illness and/or disability.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Professional Development - I would benefit from a roundtable or other professional group dedicated to LIS professionals with disabilities.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - My illness and/or disability impacts my daily work experience but I did not know accommodations were an option to improve my situation.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested and received accommodations for my illness and/or disability at my current place of work.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested accommodations and felt the process was easy to navigate.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested accommodations and felt the process was completed in a reasonable time frame.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested but not received accommodations for my illness and/or disability at my current place of work.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have decided not to request accommodations for my illness and/or disability out of fear of not being believed.,Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have decided not to request accommodations for my illness and/or disability out of fear of repercussions from my colleagues (professionally or socially).,"Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested and/or received accommodations for my illness and/or disability and faced professional repercussions from my supervisor (being left out of projects, duties removed, etc).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested and/or received accommodations for my illness and/or disability and faced social repercussions from my supervisor (passive aggressive responses, confrontation behavior, etc).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested and/or received accommodations for my illness and/or disability and faced professional repercussions from my colleagues (being left out of projects, duties removed, etc).","Please respond to the following statements regarding your experience working with an invisible illness and/or disability. Rank the statements from strongly agree to strongly disagree. Accommodations - I have requested and/or received accommodations for my illness and/or disability and faced social repercussions from my colleagues (passive aggressive responses, confrontation behavior, etc)."
25-35,she/hers,White,Yes,Yes,No,No,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues",When my illness/disability impacted my work,Once I began working,,,,,Yes,Yes,"Work schedule (change in hours, work from home, etc)",N/A,N/A,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Disagree        ,Disagree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
25-35,she/hers,White,No,,Yes,Yes,Less than 5 years,2-5 years,Human Resources/disability office,,,,,,Once I began working,,No,,,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree        ,Strongly agree        ,Strongly agree        ,N/A,Agree        ,N/A,N/A,Disagree        ,Strongly agree        ,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,N/A,N/A,N/A,N/A,N/A,Agree,Agree,,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,Less than 5 years,2-5 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree      ,Neither agree nor disagree      ,N/A,Strongly disagree        ,Strongly disagree        ,Neither agree nor disagree      ,N/A,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A
25-35,they/them,Native Hawaiian or Pacific Islander,Yes,Yes,Yes,Yes,Less than 5 years,Less than 2 years,"No one,Colleagues I consider close friends,My direct supervisor (if not library director),Other",Once I began working,,During the interview/hiring process,,,,,No,,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree      ,Agree        ,N/A,N/A,N/A,N/A,N/A,Strongly agree        ,Agree        ,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Strongly agree,N/A,N/A,N/A,N/A
45-55,she/hers,Other,Yes,Yes,Yes,Yes,10-15 years,10-15 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office",As I built a personal relationship with colleagues,,When my illness/disability impacted my work,,,When my illness/disability impacted my work,,No,,,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree
25-35,she/hers,White,No,Unsure,Yes,Yes,Less than 5 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations",Yes,Yes,"Work schedule (change in hours, work from home, etc)",Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree        ,Disagree        ,Agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree
35-45,she/hers,White,,,Yes,Yes,15-20 years,2-5 years,"My direct supervisor (if not library director),Other",,,When my illness/disability impacted my work,,,,,Yes,Unsure,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Disagree        ,Agree        ,Agree        ,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45-55,she/hers,White,Unsure,Yes,Yes,Unsure,15-20 years,15-20 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,"When my illness/disability impacted my work,When requesting accommodations",,,,,Yes,,"Work environment (furniture, office location, etc.),Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Strongly agree,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree
25-35,she/hers,White,Yes,Yes,No,No,5-10 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues",When my illness/disability impacted my work,,,,,No,,,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,N/A,N/A,Agree,Agree,Agree,N/A,N/A,,
